Landmarks,1441,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
145,Postorbital_LEFT2.7.19,normal,-1.263659e+02,3.970979e+01,-2.303623e+00,2.740967e-01,9.097476e-01,3.118177e-01
146,Postorbital_LEFT2.7.20,normal,-1.279032e+02,4.019373e+01,-2.874772e+00,2.732884e-01,7.055600e-01,6.538339e-01
147,Postorbital_LEFT2.7.21,normal,-1.292702e+02,4.100245e+01,-3.507634e+00,-6.059768e-03,7.158386e-01,6.982395e-01
148,Postorbital_LEFT2.7.22,normal,-1.302946e+02,4.200102e+01,-4.444106e+00,9.003212e-02,7.475788e-01,6.580427e-01
149,Postorbital_RIGHT1.8.01,normal,-6.671557e+01,-5.324678e+01,-2.646304e+01,7.220194e-01,2.970983e-02,6.912346e-01
150,Postorbital_RIGHT1.8.02,normal,-7.062094e+01,-5.283293e+01,-2.337369e+01,4.647612e-01,-3.726589e-02,8.846515e-01
151,Postorbital_RIGHT1.8.03,normal,-7.463470e+01,-5.238428e+01,-2.043156e+01,6.283426e-01,-1.882264e-02,7.777090e-01
152,Postorbital_RIGHT1.8.04,normal,-7.798442e+01,-5.206763e+01,-1.673743e+01,4.281505e-01,-7.715623e-01,4.705091e-01
153,Postorbital_RIGHT1.8.05,normal,-8.054886e+01,-5.173704e+01,-1.265741e+01,3.877970e-01,-9.167964e-01,9.538350e-02
154,Postorbital_RIGHT1.8.06,normal,-8.242162e+01,-5.178143e+01,-8.205158e+00,6.341251e-01,-7.522600e-01,1.788583e-01
155,Postorbital_RIGHT1.8.07,normal,-8.313804e+01,-5.263074e+01,-3.504173e+00,9.087983e-01,-3.507442e-01,2.259741e-01
156,Postorbital_RIGHT1.8.08,normal,-8.454031e+01,-5.295761e+01,-3.440832e-01,2.771912e-01,-9.161510e-01,-2.895383e-01
157,Postorbital_RIGHT1.8.09,normal,-8.255901e+01,-5.528112e+01,1.306813e+00,1.396445e-01,6.256216e-01,-7.675267e-01
158,Postorbital_RIGHT1.8.10,normal,-8.189680e+01,-5.663902e+01,4.439331e+00,7.459863e-01,-5.431477e-01,-3.853506e-01
159,Postorbital_RIGHT1.8.11,normal,-8.113911e+01,-5.720837e+01,7.222036e+00,2.758715e-01,-7.788469e-01,-5.632873e-01
160,Postorbital_RIGHT1.8.12,normal,-7.996954e+01,-5.747974e+01,9.905480e+00,5.994993e-01,-6.131516e-01,-5.144373e-01
161,Postorbital_RIGHT1.8.13,normal,-7.945030e+01,-5.772974e+01,1.278812e+01,9.729490e-01,-1.373145e-01,1.857822e-01
162,Postorbital_RIGHT1.8.14,normal,-7.999181e+01,-5.736223e+01,1.523873e+01,9.937429e-02,-8.704182e-01,-4.821793e-01
163,Postorbital_RIGHT1.8.15,normal,-7.897717e+01,-5.850990e+01,1.726040e+01,6.995728e-01,-7.121273e-01,-5.892950e-02
164,Postorbital_RIGHT1.8.16,normal,-7.886509e+01,-5.882738e+01,1.977448e+01,1.900138e-01,-8.768641e-01,-4.415929e-01
