Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
137,Postorbital_RIGHT_2.6.12,normal,-1.16E+01,1.29E+00,-1.45E+01,-7.36E-01,-2.26E-02,-6.77E-01
138,Postorbital_RIGHT_2.6.13,normal,-1.18E+01,1.36E+00,-1.46E+01,-2.68E-01,-9.60E-01,7.71E-02
139,Vomer_LEFT.7.01,normal,-2.07E+00,2.81E+00,-1.28E+01,7.03E-01,-6.64E-01,-2.55E-01
140,Vomer_LEFT.7.02,normal,-2.30E+00,2.91E+00,-1.28E+01,2.15E-01,-7.26E-01,-6.53E-01
141,Vomer_LEFT.7.03,normal,-2.53E+00,2.95E+00,-1.29E+01,-2.03E-02,-9.47E-01,-3.20E-01
142,Vomer_LEFT.7.04,normal,-2.75E+00,2.99E+00,-1.31E+01,1.89E-01,-4.46E-01,-8.75E-01
143,Vomer_LEFT.7.05,normal,-2.92E+00,3.05E+00,-1.31E+01,-7.18E-01,-1.31E-01,-6.83E-01
144,Vomer_LEFT.7.06,normal,-3.09E+00,3.13E+00,-1.32E+01,8.03E-02,-9.70E-01,-2.31E-01
145,Vomer_LEFT.7.07,normal,-3.28E+00,3.17E+00,-1.32E+01,-4.26E-01,-2.44E-01,-8.71E-01
146,Vomer_LEFT.7.08,normal,-3.47E+00,3.16E+00,-1.32E+01,-7.27E-01,-5.71E-01,-3.81E-01
147,Vomer_LEFT.7.09,normal,-3.66E+00,3.14E+00,-1.32E+01,-4.90E-01,2.02E-01,-8.48E-01
148,Vomer_LEFT.7.10,normal,-3.82E+00,3.07E+00,-1.33E+01,3.66E-01,-3.31E-01,-8.70E-01
149,Vomer_LEFT.7.11,normal,-4.07E+00,2.97E+00,-1.33E+01,1.37E-01,3.10E-01,-9.41E-01
150,Vomer_LEFT.7.12,normal,-4.32E+00,2.88E+00,-1.33E+01,4.67E-01,-5.66E-01,-6.80E-01
151,Vomer_LEFT.7.13,normal,-4.55E+00,2.79E+00,-1.34E+01,2.73E-01,4.38E-02,-9.61E-01
152,Vomer_LEFT.7.14,normal,-4.69E+00,2.75E+00,-1.34E+01,2.32E-01,2.09E-01,-9.50E-01
153,Vomer_LEFT.7.15,normal,-4.83E+00,2.72E+00,-1.35E+01,2.24E-01,4.21E-01,-8.79E-01
154,Vomer_LEFT.7.16,normal,-4.98E+00,2.71E+00,-1.35E+01,-4.47E-02,3.81E-01,-9.24E-01
